1054
106	229	388
163	388	229
141	560	215
142	561	216
143	562	217
144	563	218
129	453	264
131	455	265
130	452	266
129	268	457
130	269	456
132	454	267
131	270	459
132	271	458
125	497	215
126	496	216
127	499	217
128	498	218
148	359	224
192	359	479
106	405	356
85	203	471
86	204	472
87	205	473
88	206	474
207	521	525
208	522	526
209	523	527
210	524	528
125	305	272
126	306	273
127	307	274
128	308	275
117	211	513
119	212	515
118	213	514
120	214	516
146	313	296
223	555	356
190	379	319
147	319	379
105	470	349
202	349	470
115	244	407
116	245	408
147	255	357
8	345	234
27	346	235
65	347	236
46	348	237
135	332	225
136	333	226
133	330	227
134	331	228
97	444	207
98	445	208
99	446	209
100	447	210
202	506	549
96	259	380
259	164	380
10	11	352
29	30	353
67	68	354
48	49	355
137	280	508
281	509	138
139	282	510
283	511	140
61	230	535
42	231	536
60	535	230
41	536	231
79	537	232
4	232	537
22	538	233
23	233	538
129	360	268
131	361	270
157	268	360
155	362	266
159	270	361
156	363	267
130	266	362
132	267	363
146	356	555
224	359	406
316	496	297
315	497	298
318	498	299
317	499	300
197	357	378
107	378	357
109	203	409
110	204	410
111	205	411
112	206	412
149	305	460
150	306	461
151	307	462
152	308	463
137	207	500
138	208	501
139	209	502
140	210	503
96	550	425
137	242	521
138	243	522
139	244	523
140	245	524
93	555	223
141	315	250
101	250	315
142	316	252
143	317	251
103	251	317
102	252	316
144	318	253
104	253	318
138	509	302
137	508	301
140	511	304
139	510	303
254	547	349
148	224	358
95	358	224
81	305	560
82	306	561
215	560	305
216	561	306
83	307	562
84	308	563
217	562	307
218	563	308
113	525	521
114	526	522
115	527	523
116	528	524
121	429	284
182	284	429
122	430	285
183	285	430
123	431	286
184	286	431
124	432	287
185	287	432
169	225	531
170	226	532
171	227	533
172	228	534
149	460	219
150	461	220
151	462	221
152	463	222
137	366	280
281	138	367
139	368	282
283	140	369
190	549	506
49	50	416
68	69	415
30	31	414
12	413	11
61	62	452
42	43	454
4	5	453
24	455	23
78	79	457
59	60	456
21	22	459
40	41	458
150	530	470
117	513	250
118	514	251
119	515	252
120	516	253
260	384	161
261	386	162
262	389	163
164	263	390
106	356	229
108	406	359
147	383	395
97	284	444
98	285	445
99	286	446
100	287	447
11	413	352
30	414	353
68	415	354
49	416	355
149	223	405
151	224	406
93	320	256
94	321	257
95	322	258
96	323	259
53	532	226
72	531	225
34	534	228
15	533	227
260	85	384
261	86	386
87	389	262
88	390	263
126	341	297
128	343	299
125	342	298
127	344	300
202	470	530
141	280	560
142	281	561
143	282	562
283	563	144
145	296	313
147	395	319
182	444	284
183	445	285
184	446	286
185	447	287
91	350	244
92	351	245
109	409	276
178	276	409
110	410	277
179	277	410
278	111	411
278	411	180
112	412	279
181	279	412
229	529	507
191	507	529
326	207	525
208	526	327
328	209	527
210	528	329
211	508	513
212	509	515
213	510	514
